Range (m),Loss (dB)
0,0
100,40.77727565
200,46.79787557
300,50.31970075
400,52.81847548
500,54.75667574
750,58.27850092
1000,60.77727565
1500,64.29910083
2000,66.79787557
3000,70.31970075
4000,72.81847548
5000,74.75667574
6000,76.34030066
7000,77.67923645
8000,78.83907539
9000,79.86212584
10000,80.77727565
12000,82.36090057
14000,83.69983637
16000,84.85967531
18000,85.88272575
20000,86.79787557
22000,87.62572927
24000,88.38150049
26000,89.07674261
28000,89.72043628
30000,90.31970075
35000,91.65863654
40000,92.81847548
45000,93.84152593
50000,94.75667574
55000,95.58452944
60000,96.34030066
65000,97.03554279
70000,97.67923645
75000,98.27850092
80000,98.83907539
85000,99.36565417
90000,99.86212584
95000,100.3317478
100000,100.7772757